Team Name,Record,Opponent Record,Rank Value
Air Force,8-5,0-0,0.6
Akron,7-5,0-0,0.571429
Alabama,12-1,0-0,0.866667
Alabama-Birmingham,0-0,0-0,0.5
Alameda Coast Guard,0-0,0-0,0.5
Alcorn State,0-1,0-0,0.333333
Amarillo Field,0-0,0-0,0.5
Amherst,0-0,0-0,0.5
Appalachian State,10-2,0-0,0.785714
Arizona,6-6,0-0,0.5
Arizona State,6-6,0-0,0.5
Arkansas,7-5,0-0,0.571429
Arkansas State,9-3,0-0,0.714286
Army,2-9,0-0,0.230769
Auburn,6-6,0-0,0.5
Ball State,3-9,0-0,0.285714
Bates,0-0,0-0,0.5
Baylor,9-3,0-0,0.714286
Beloit,0-0,0-0,0.5
Birmingham-Southern,0-0,0-0,0.5
School,0-0,0-0,0.5
Boise State,8-4,0-0,0.642857
Boston College,3-9,0-0,0.285714
Boston University,0-0,0-0,0.5
Bowdoin,0-0,0-0,0.5
Bowling Green State,10-3,0-0,0.733333
Bradley,0-0,0-0,0.5
Brigham Young,9-3,0-0,0.714286
Brown,0-0,0-0,0.5
Bucknell,0-1,0-0,0.333333
Buffalo,5-7,0-0,0.428571
Butler,0-0,0-0,0.5
Cal State Fullerton,0-0,0-0,0.5
Cal State Los Angeles,0-0,0-0,0.5
California,7-5,0-0,0.571429
California-Santa Barbara,0-0,0-0,0.5
Camp Grant,0-0,0-0,0.5
Carlisle,0-0,0-0,0.5
Carnegie Mellon,0-0,0-0,0.5
Centenary (LA),0-0,0-0,0.5
Central Florida,0-12,0-0,0.0714286
School,0-0,0-0,0.5
Central Michigan,7-5,0-0,0.571429
Centre,0-0,0-0,0.5
Charlotte,2-10,0-0,0.214286
Chattanooga,0-1,0-0,0.333333
Chicago,0-0,0-0,0.5
Cincinnati,7-5,0-0,0.571429
Citadel,1-1,0-0,0.5
Clemson,13-0,0-0,0.933333
Coast Guard,0-0,0-0,0.5
Coe,0-0,0-0,0.5
Colby,0-0,0-0,0.5
Colgate,0-1,0-0,0.333333
Colorado,4-9,0-0,0.333333
Colorado College,0-0,0-0,0.5
Colorado Mines,0-0,0-0,0.5
Colorado State,7-5,0-0,0.571429
Columbia,0-0,0-0,0.5
Connecticut,6-6,0-0,0.5
Cornell,0-0,0-0,0.5
Cornell College,0-0,0-0,0.5
School,0-0,0-0,0.5
Creighton,0-0,0-0,0.5
Cumberland,0-0,0-0,0.5
Dartmouth,0-0,0-0,0.5
Davidson,0-0,0-0,0.5
Dayton,0-0,0-0,0.5
Del Monte Pre-Flight,0-0,0-0,0.5
Denver,0-0,0-0,0.5
Detroit Mercy,0-0,0-0,0.5
Dickinson,0-0,0-0,0.5
Drake,0-0,0-0,0.5
Drury,0-0,0-0,0.5
Duke,7-5,0-0,0.571429
Duquesne,0-0,0-0,0.5
East Carolina,5-7,0-0,0.428571
East Tennessee State,0-0,0-0,0.5
Eastern Michigan,1-11,0-0,0.142857
Erskine,0-0,0-0,0.5
Florida,10-3,0-0,0.733333
Florida A&M,0-1,0-0,0.333333
Florida Atlantic,3-9,0-0,0.285714
School,0-0,0-0,0.5
Florida International,5-7,0-0,0.428571
Florida State,10-2,0-0,0.785714
Fordham,1-0,0-0,0.666667
Fort Benning,0-0,0-0,0.5
Fort Riley,0-0,0-0,0.5
Fort Warren,0-0,0-0,0.5
Franklin & Marshall,0-0,0-0,0.5
Fresno State,3-9,0-0,0.285714
Furman,1-1,0-0,0.5
George Washington,0-0,0-0,0.5
Georgetown,0-0,0-0,0.5
Georgia,9-3,0-0,0.714286
Georgia Pre-Flight,0-0,0-0,0.5
Georgia Southern,8-4,0-0,0.642857
Georgia State,6-6,0-0,0.5
Georgia Tech,3-9,0-0,0.285714
Gonzaga,0-0,0-0,0.5
Grambling State,0-1,0-0,0.333333
Great Lakes Navy,0-0,0-0,0.5
Grinnell,0-0,0-0,0.5
School,0-0,0-0,0.5
Hamilton,0-0,0-0,0.5
Hampden-Sydney,0-0,0-0,0.5
Hardin-Simmons,0-0,0-0,0.5
Harvard,0-0,0-0,0.5
Haskell,0-0,0-0,0.5
Haverford,0-0,0-0,0.5
Hawaii,3-10,0-0,0.266667
Holy Cross,0-0,0-0,0.5
Houston,12-1,0-0,0.866667
Idaho,4-8,0-0,0.357143
Idaho State,0-2,0-0,0.25
Illinois,5-7,0-0,0.428571
Illinois State,0-1,0-0,0.333333
Indiana,6-6,0-0,0.5
Indiana State,0-1,0-0,0.333333
Iowa,12-1,0-0,0.866667
Iowa Pre-Flight,0-0,0-0,0.5
Iowa State,3-9,0-0,0.285714
Jackson State,0-1,0-0,0.333333
Jacksonville Naval Air Station,0-0,0-0,0.5
School,0-0,0-0,0.5
Kansas,0-12,0-0,0.0714286
Kansas State,6-6,0-0,0.5
Kent State,3-9,0-0,0.285714
Kentucky,5-7,0-0,0.428571
Knox,0-0,0-0,0.5
Lafayette,0-0,0-0,0.5
